"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"Sgs","","Switzerland","sgs.com","https://linkedin.com/company/4126","","","","","1172","1","","","0","0","2","","1 Place des Alpes P.O. Box 2152, 1211, Geneve, Geneva, Switzerland","","","","","","","","","","","","","","","","",""
"Pernod Ricard","","France","pernod-ricard.com","https://linkedin.com/company/12951","","","","","1173","1","","","0","0","1","","Cours Paul-Ricard, 75008, Paris, Ile-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Competition and Consumer Protection Commission","","Ireland","ccpc.ie","https://linkedin.com/company/6432243","","","","","1174","1","","","0","0","2","","Bloom House, Railway Street, D01 C576, County Dublin, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Kirkland & Ellis","","United States","kirkland.com","https://linkedin.com/company/5732","","","","","1175","1","","","0","0","1","","North LaSalle Street, 60654, Illinois, Chicago, United States","","","","","","","","","","","","","","","","",""
"Herbert Smith Freehills","","United Kingdom","hsfkramer.com","https://linkedin.com/company/107138364","","","","","1176","1","","","0","0","0","","Primrose Street, EC2A 2BQ, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Bird & Bird","","United Kingdom","twobirds.com","https://linkedin.com/company/318488","","","","","1177","2","","","0","0","3","","New Fetter Lane  12, EC4A 1AZ, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Silverspin","","Malta","","https://linkedin.com/company/10487516","","","","","1178","1","","","0","0","1","","Imsida, Malta","","","","","","","","","","","","","","","","",""
"Saint-Gobain","","France","saint-gobain.com","https://linkedin.com/company/2981","","","","","1179","1","","","0","0","1","","Place de l'Iris  12, 92400, Hauts-de-Seine, Ile-de-France, Courbevoie, France","","","","","","","","","","","","","","","","",""
"Econergy Renewable Energy","","United Kingdom","econergytech.com","https://linkedin.com/company/2411373","","","","","1180","1","","","0","0","1","","Brent Street, NW4 4DJ, London Borough of Barnet, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Wonderful","","","wonderful.ai","https://linkedin.com/company/106168221","","","","","1181","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Ringover North America","","United States","ringover.com","https://linkedin.com/company/9180058","","","","","1182","1","","","0","0","2","","4940 Peachtree Industrial Blvd, 30071, Georgia, Atlanta, United States","","","","","","","","","","","","","","","","",""
"Ericsson","","United States","ericsson.com","https://linkedin.com/company/1060","","","","","1183","2","","","0","0","3","","Envivio Inc., 94105, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"PepsiCo","","United States","pepsico.com","https://linkedin.com/company/1431","","","","","1184","1","","","0","0","2","","700 Anderson Hill Road, 10577, New York, Purchase, United States","","","","","","","","","","","","","","","","",""
"Digital Cooperation Organization DCO","","Saudi Arabia","dco.org","https://linkedin.com/company/69717053","","","","","1185","1","","","0","0","1","","Prince Turki Bin Abdulaziz Al Awal Road, 12354, Riyadh Region, Riyadh, Saudi Arabia","","","","","","","","","","","","","","","","",""
"Cleveland","","United Kingdom","cleveland-co.com","https://linkedin.com/company/5172430","","","","","1186","1","","","0","0","1","","Weston Street, SE1 3QZ, London Borough of Southwark, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Grai","","","grai.ie","https://linkedin.com/company/105779007","","","","","1187","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"Diageo","","United Kingdom","diageo.com","https://linkedin.com/company/2496","","","","","1188","1","","","0","0","1","","Lakeside Drive, NW10 7HQ, London Borough of Brent, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Van Bael & Bellis","","","","","","","","","1189","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Axpo Polska","","Poland","","https://linkedin.com/company/4867117","","","","","1190","1","","","0","0","2","","00-843, Woj. Mazowieckie, Warszawa, Poland","","","","","","","","","","","","","","","","",""
"White Square","","United Arab Emirates","whitesquarepartners.com","https://linkedin.com/company/94812203","","","","","1191","1","","","0","0","1","","Anantara Downtown, Business Bay, Dubai, Dubai, United Arab Emirates","","","","","","","","","","","","","","","","",""
"Roche Danmark","","Denmark","roche.dk","https://linkedin.com/company/28626910","","","","","1192","0","","","0","0","0","","Flaskehalsen, 1799, Capital Region of Denmark, Copenhagen, Denmark","","","","","","","","","","","","","","","","",""
"MC Ltd.","","","","","","","","","1193","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Oliver James","","United Kingdom","oliverjames.com","https://linkedin.com/company/212201","","","","","1194","1","","","0","0","1","","Bartholomew Lane, EC2N 2AX, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Bekaert","","Belgium","bekaert.com","https://linkedin.com/company/7186","","","","","1195","1","","","0","0","1","","Bekaertstraat  2, 8550, West Flanders, Flanders, Zwevegem, Belgium","","","","","","","","","","","","","","","","",""
"TikTok","","United States","tiktok.com","https://linkedin.com/company/33246798","","","","","1196","1","","","0","0","1","","United States Highway 209  6721, 12446, New York, Kerhonkson, United States","","","","","","","","","","","","","","","","",""
"Barcroft Legal","","","","","","","","","1197","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"MLH Avocat","","","","","","","","","1198","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Gibson Dunn","","United States","gibsondunn.com","https://linkedin.com/company/6627","","","","","1199","1","","","0","0","1","","South Grand Avenue  333, 90071, California, Los Angeles, United States","","","","","","","","","","","","","","","","",""
"Kibernetes","","Italy","kibernetes.it","https://linkedin.com/company/1951713","","","","","1200","1","","","0","0","0","","Via Gemona del Friuli, 20, 00181, Roma Capitale, Lazio, Rome, Italy","","","","","","","","","","","","","","","","",""
"European Union","","Belgium","europa.eu","https://linkedin.com/company/1809","","","","","1201","1","","","0","0","0","","16, 1210, Brussels-Capital, Saint-Josse-ten-Noode - Sint-Joost-ten-Node, Belgium","","","","","","","","","","","","","","","","",""
"UnitedHealthcare Global","","United States","uhcglobal.com","https://linkedin.com/company/28855356","","","","","1202","1","","","0","0","0","","Minnetonka Avenue South  229, 55391, Minnesota, Wayzata, United States","","","","","","","","","","","","","","","","",""
"Salesforce","","United States","salesforce.com","https://linkedin.com/company/3185","","","","","1203","1","","","0","0","0","","Mission Street  415, 94105, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Schneider Electric","","France","se.com","https://linkedin.com/company/2329","","","","","1204","1","","","0","0","0","","35, Rue Joseph Monier, 92500, Île-De-France, Rueil-Malmaison, France","","","","","","","","","","","","","","","","",""
"Biocartis","","Belgium","biocartis.com","https://linkedin.com/company/757392","","","","","1205","1","","","0","0","2","","Generaal De Wittelaan, 2800, Antwerp, Flanders, Mechelen, Belgium","","","","","","","","","","","","","","","","",""
"Maison Margiela","","France","maisonmargiela.com","https://linkedin.com/company/119265","","","","","1206","1","","","0","0","1","","Cité Industrielle  35, 75011, Paris, Ile-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Ashurst","","United Kingdom","ashurst.com","https://linkedin.com/company/162548","","","","","1207","1","","","0","0","2","","London Fruit & Wool Exchange, 1 Duval Square, E1 6PW, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"XBP Global","","United States","","https://linkedin.com/company/109158904","","","","","1208","1","","","0","0","2","","75063, Texas, Irving, United States","","","","","","","","","","","","","","","","",""
"Godot AND Fils","","France","achat-or-et-argent.fr","https://linkedin.com/company/70965672","","","","","1209","1","","","0","0","1","","26, Rue Vivienne, 75002, Ile-de-France|Paris, Paris, France","","","","","","","","","","","","","","","","",""
"Thomson Reuters","","Canada","","https://linkedin.com/company/1400","","","","","1210","1","","","0","0","1","","M5H 3G6, ON, Toronto, Canada","","","","","","","","","","","","","","","","",""
"Impact Fund Denmark formerly IFU","","Denmark","impactfund.dk","https://linkedin.com/company/30354","","","","","1211","1","","","0","0","0","","Fredericiagade  27, 1310, Capital Region of Denmark, Copenhagen, Denmark","","","","","","","","","","","","","","","","",""
"The Bar of Ireland","","Ireland","lawlibrary.ie","https://linkedin.com/company/286657","","","","","1212","1","","","0","0","1","","Law Library Building, 158/159, Church Street, D07YX89, County Dublin, Leinster, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"GoGift","","Denmark","gogift.com","https://linkedin.com/company/10115972","","","","","1213","1","","","0","0","1","","Mosedalvej 14, 2500, Copenhagen, Denmark","","","","","","","","","","","","","","","","",""
"S-ryhmä / S Group","","Finland","s-ryhma.fi","https://linkedin.com/company/166038","","","","","1214","1","","","0","0","2","","Fleminginkatu 34, 00510, Uusimaa, Helsinki, Finland","","","","","","","","","","","","","","","","",""
"Fabiosa Media","","Cyprus","fabiosamedia.com","https://linkedin.com/company/28896284","","","","","1215","1","","","0","0","0","","Kypranoros, 1061, Nicosia District, Nicosia, Cyprus","","","","","","","","","","","","","","","","",""
"Bbe","","Belgium","bbe.digital","https://linkedin.com/company/919787","","","","","1216","1","","","0","0","1","","Boulevard Bischoffsheim - Bischoffsheimlaan, 1000, Brussels-Capital, Brussels, Belgium","","","","","","","","","","","","","","","","",""
"Verdant Capital","","South Africa","verdant-cap.com","https://linkedin.com/company/5388182","","","","","1217","1","","","0","0","2","","6th Road, 2001, Gauteng, Johannesburg, South Africa","","","","","","","","","","","","","","","","",""
"Industrial Chemical Products Suppliers&Chemical Manufacturing Factory-Jiahua","","China","jiahua.com","https://linkedin.com/company/105522815","","","","","1218","1","","","0","0","1","","Shanghai, China","","","","","","","","","","","","","","","","",""
"Nordex","","","","","","","","","1219","1","","","0","0","2","","","","","","","","","","","","","","","","","","",""
"Kolibri Games","","Germany","kolibrigames.com","https://linkedin.com/company/15180531","","","","","1220","1","","","0","0","2","","Elisabeth-Schwarzhaupt-Platz  5, 10115, Berlin, Berlin, Germany","","","","","","","","","","","","","","","","",""
"Apellis Pharmaceuticals","","United States","apellis.com","https://linkedin.com/company/821650","","","","","1221","1","","","0","0","2","","Fifth Avenue  100, 02451, Massachusetts, Waltham, United States","","","","","","","","","","","","","","","","",""
"Beyond ONE","","Chile","beyond.one","https://linkedin.com/company/87424405","","","","","1222","1","","","0","0","1","","Santiago, 8360481, Santiago Metropolitan Region, Santiago, Chile","","","","","","","","","","","","","","","","",""
"Jde Peet's","","Netherlands","jdepeets.com","https://linkedin.com/company/72385478","","","","","1223","1","","","0","0","2","","Oosterdoksstraat 80, 1011 DK, Noord-Holland, Amsterdam, Netherlands","","","","","","","","","","","","","","","","",""
"CluePoints","","Belgium","cluepoints.com","https://linkedin.com/company/2756754","","","","","1224","1","","","0","0","1","","New Tech Centre, 1348, Walloon Region|Walloon Brabant|Nivelles, Avenue Albert Einstein 2A, Belgium","","","","","","","","","","","","","","","","",""
"AÏP Genius","","","aipgenius.com","https://linkedin.com/company/106967368","","","","","1225","1","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"MinervaHub","","Italy","minervahub.it","https://linkedin.com/company/77194070","","","","","1226","1","","","0","0","2","","Piazzale Cadorna 6, 20123, Milano, Italy","","","","","","","","","","","","","","","","",""
"Fox Mandal AND Associates","","India","foxmandal.in","https://linkedin.com/company/63729","","","","","1227","1","","","0","0","1","","Primrose Road, 560025, Karnataka, Bengaluru, India","","","","","","","","","","","","","","","","",""
"UGGC Avocats","","France","uggc.com","https://linkedin.com/company/451888","","","","","1228","1","","","0","0","1","","47, rue de Monceau, 75008, Ile-de-France|Paris, Paris, France","","","","","","","","","","","","","","","","",""
"Amagis Capital: Fin-Tech,  Financial Advisory, Cloud & Cybersecurity","","","","","","","","","1229","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
